date,temp_max,temp_min,temp_mean,precipitation
2023-08-01,32.5,23.9,28.1,0.3
2023-08-02,31.0,24.1,27.3,0.0
2023-08-03,31.0,22.4,26.7,0.0
2023-08-04,32.1,23.5,27.8,0.0
2023-08-05,33.6,23.4,27.9,0.0
2023-08-06,31.9,24.6,28.2,11.0
2023-08-07,32.7,24.4,28.2,3.5
2023-08-08,33.7,23.2,28.2,3.1
2023-08-09,31.4,24.0,27.0,2.5
2023-08-10,24.0,20.5,22.0,74.6
2023-08-11,24.5,20.7,22.9,30.4
2023-08-12,26.2,22.2,23.8,10.2
2023-08-13,29.9,22.0,25.7,0.2
2023-08-14,31.3,23.2,26.9,0.2
2023-08-15,30.7,23.3,26.7,0.0
2023-08-16,29.4,22.2,25.6,1.0
2023-08-17,30.6,22.5,26.4,0.1
2023-08-18,30.6,23.4,26.9,1.3
2023-08-19,31.4,23.6,26.8,0.2
2023-08-20,30.3,22.6,26.2,0.0
2023-08-21,31.6,23.8,26.9,4.7
2023-08-22,29.2,23.8,25.8,24.1
2023-08-23,25.1,23.2,24.1,62.5
2023-08-24,27.8,22.0,24.3,14.0
2023-08-25,27.7,22.2,24.8,1.3
2023-08-26,28.5,21.2,24.5,0.0
2023-08-27,27.2,20.8,23.9,1.5
2023-08-28,24.8,20.9,22.5,27.8
2023-08-29,25.1,21.4,23.4,33.3
2023-08-30,24.8,20.4,22.2,3.0
2023-08-31,27.2,19.5,22.8,0.2
2023-09-01,27.8,18.1,22.5,0.0
2023-09-02,29.1,18.0,22.9,0.0
2023-09-03,29.1,22.0,25.1,2.4
2023-09-04,27.7,22.0,24.4,7.1
2023-09-05,30.5,23.2,25.8,2.7
2023-09-06,30.2,22.0,25.7,0.3
2023-09-07,29.6,18.2,23.9,0.0
2023-09-08,28.2,16.5,22.4,0.0
2023-09-09,29.0,18.8,23.5,0.0
2023-09-10,27.6,19.0,23.4,0.1
2023-09-11,27.9,21.2,23.7,0.8
2023-09-12,28.3,20.2,23.7,0.0
2023-09-13,22.9,19.5,21.5,19.2
2023-09-14,26.3,17.6,21.9,0.1
2023-09-15,23.4,20.1,21.3,9.5
2023-09-16,26.3,20.4,22.7,25.3
2023-09-17,26.7,20.4,22.8,12.4
2023-09-18,26.9,19.7,22.7,1.3
2023-09-19,26.5,19.0,22.4,0.6
2023-09-20,22.1,19.0,20.6,39.4
2023-09-21,22.4,16.2,18.9,0.0
2023-09-22,23.8,12.4,18.1,0.0
2023-09-23,24.9,14.8,19.8,0.0
2023-09-24,24.3,15.4,19.8,0.1
2023-09-25,23.0,17.1,19.7,1.3
2023-09-26,21.5,18.5,19.7,14.7
2023-09-27,23.4,19.6,20.9,2.8
2023-09-28,24.7,17.9,21.0,0.9
2023-09-29,23.7,15.9,19.1,0.0
2023-09-30,21.5,15.6,18.8,3.9
2023-10-01,21.3,12.1,16.1,0.0
2023-10-02,22.1,11.9,16.4,0.0
2023-10-03,20.9,11.8,15.8,0.0
2023-10-04,21.5,11.9,16.2,1.2
2023-10-05,17.1,9.3,13.1,0.0
2023-10-06,19.0,9.1,13.6,0.0
2023-10-07,20.8,8.2,14.6,0.0
2023-10-08,19.3,12.7,15.7,0.2
2023-10-09,19.4,13.1,15.6,0.2
2023-10-10,21.3,10.4,14.9,0.0
2023-10-11,21.2,11.1,15.2,0.0
2023-10-12,22.1,9.5,15.0,0.0
2023-10-13,20.0,12.5,16.0,0.0
2023-10-14,16.7,10.9,14.4,4.8
2023-10-15,19.5,10.8,14.3,0.0
2023-10-16,17.1,7.8,12.0,0.0
2023-10-17,17.7,7.8,11.8,0.0
2023-10-18,19.3,6.8,12.8,0.0
2023-10-19,18.4,13.5,15.3,8.1
2023-10-20,13.5,6.2,10.8,0.0
2023-10-21,15.3,4.0,9.0,0.0
2023-10-22,16.6,4.0,10.2,0.0
2023-10-23,18.0,7.8,12.7,0.7
2023-10-24,17.8,8.2,12.5,1.4
2023-10-25,20.0,9.2,13.8,0.1
2023-10-26,19.6,10.7,14.3,7.8
2023-10-27,17.6,8.9,13.3,0.5
2023-10-28,17.4,7.1,12.2,0.0
2023-10-29,18.3,6.8,12.1,0.0
2023-10-30,18.5,6.5,11.6,0.0
2023-10-31,18.4,7.5,12.3,0.0
2023-11-01,21.9,14.4,17.0,6.5
2023-11-02,23.0,14.5,17.8,0.0
2023-11-03,19.3,15.2,16.8,11.9
2023-11-04,20.2,13.9,16.4,2.0
2023-11-05,19.8,12.6,15.8,31.0
2023-11-06,18.9,6.7,13.9,34.9
2023-11-07,7.0,2.2,4.5,0.1
